ano,titulo,autor,!,(,),",",.,:,;,?,reticencias,palavras_num,palavras_unic,pont_total,pont_frases,palavras_por_pont,palavras_por_frase
1862,AmorDePerdição,CamiloCasteloBranco,460,0,0,4207,2518,232,351,389,2,276130,36233,8157,3369,33.8519063381145,81.96200653012764
1866,AsPupilasDoSenhorReitor,JulioDinis,924,6,6,8956,5310,372,881,1243,0,554226,74494,17698,7477,31.31574189173918,74.12411394944496
1888,OsMaias,EçaDeQueiroz,3096,71,71,25394,15726,1673,1169,1332,3534,1276590,173955,48532,23688,26.304088024396275,53.891843971631204
1908,QuatroNovelas,AnaDeCastroOsório,501,0,0,4378,2210,125,187,207,432,284213,33982,7608,3350,37.35712407991588,84.83970149253732
1914,AConfissãoDeLúcio,MárioSáCarneiro,240,12,12,2564,1441,246,123,101,169,157746,19822,4739,1951,33.286769360624604,80.85392106611994
1917,Húmus,RaulBrandão,606,17,17,4133,4492,329,125,254,402,313231,40900,9973,5754,31.407901333600723,54.437087243656585
1922,OBanqueiroAnarquista,FernandoPessoa,30,9,9,1046,543,44,120,111,56,61885,7510,1912,740,32.36663179916318,83.62837837837837
1945,Vindima,MiguelTorga,937,7,7,6299,6525,215,76,495,1043,420907,55339,14561,9000,28.90646246823707,46.76744444444444
1953,UmaAbelhaNaChuva,CarlosDeOliveira,14,27,27,2243,1361,280,257,153,43,133126,17711,4362,1571,30.519486474094453,84.73965626989178
1954,ASibila,AugustinaBessaLuis,194,0,0,10157,3177,94,388,170,1,511070,62949,14180,3542,36.04160789844852,144.28853754940712
1958,ACasaGrandeDeRomarigães,AquilinoRibeiro,630,0,0,8153,5862,382,123,618,421,532690,67761,15768,7531,33.78297818366312,70.73297038905856
1959,Aparicao,VergílioFerreira,156,57,56,6213,4905,460,69,654,386,353142,47075,12570,6101,28.09403341288783,57.88264218980495
1968,ODelfim,JoséCardosoPires,22,204,210,4850,3781,410,157,402,267,301401,41125,10036,4472,30.031984854523714,67.39736135957067
1979,SinaisDeFogo,JorgeDeSena,221,310,311,19630,10788,1518,181,2936,0,1082226,139124,35895,13945,30.149770162975344,77.60674076730011
1988,AsNaus,AntonioLoboAntunes,0,28,28,5171,935,75,35,54,0,335309,37146,6326,989,53.00490041100221,339.03842264914056
1995,EnsaioSobreACegueira,JoseSaramago,0,0,0,15398,2194,0,0,0,0,597896,74019,17592,2194,33.98681218735789,272.51412944393803
2001,LilliasFraser,HéliaCorreia,0,0,0,5489,3926,38,11,104,4,359916,43973,9568,4034,37.616638795986624,89.22062469013386
2002,OVentoAssobiandoNasGruas,LídiaJorge,131,0,0,14612,10333,0,0,1242,996,815580,108269,26318,12702,30.989436887301466,64.20878601794993
2005,Jerusalem,GoncaloMTavares,52,29,28,3692,2205,463,231,156,24,242001,30415,6856,2437,35.29769544924154,99.30283135002051
2008,OApocalipseDosTrabalhadores,ValterHugoMãe,0,0,0,4645,3256,0,0,0,0,307790,37183,7901,3256,38.95582837615492,94.53009828009829
2010,ABonecaDeKokoschka,AfonsoCruz,22,109,112,3422,3176,202,7,220,12,256933,32278,7270,3430,35.34154057771664,74.90758017492712
2011,AsLuzesDeLeonor,MariaTeresaHorta,529,12,12,30869,13232,1214,1034,553,0,2098216,249914,47455,14314,44.21485617953851,146.58488193377113
2013,QueImportaAFuriaDoMar,AnaMargaridaDeCarvalho,95,85,85,6763,3404,62,39,188,12,390206,47741,10721,3699,36.39641824456674,105.48959178156258
2016,AGorda,IsabelaFigueiredo,234,21,21,5295,4452,60,55,328,9,341610,43810,10466,5023,32.639977068603095,68.00915787378061
2018,LuandaLisboaParaiso,DjaimiliaPereiraDeAlmeida,50,25,25,3328,2431,36,49,102,7,248873,30395,6046,2590,41.163248428713196,96.08996138996139
